file,player,build,Spawning Pool,Extractor,Hatchery 1,Hatchery 2,Lair,Spire,Metabolic Boost (Zergling Speed)
SBIB6-I9EaVZMar_YodnbBettjPeAG4X85ML1CYcVr0.rep,킹갓제네럴썬더라,,2151,3723,2958,4864,6496,-1,-1
sIVLynJYLKYJG3vQsEMPCxBwsIgbxdI9DfY25I2QFaM.rep,행복스타맨,,1323,4992,5666,-1,6562,-1,-1
sIVLynJYLKYJG3vQsEMPCxBwsIgbxdI9DfY25I2QFaM.rep,비두로기,,1587,1896,4182,-1,-1,-1,3196
tzi3VMnI5yXImoeqkvzMBkFsdlpNRan7DzVPn88GdmI.rep,TomasPlay,,1835,1944,-1,-1,3243,4787,3793
tzi3VMnI5yXImoeqkvzMBkFsdlpNRan7DzVPn88GdmI.rep,ViRry[ReV],,2176,2432,3063,-1,4451,-1,3795
UHBpa3VZ8MQCcNcCchRkQaMxwEylVwW9jzvrw5rjzA4.rep,킹갓제네럴썬더라,,2824,3690,2441,5110,5292,-1,-1
UWAn8wkMrg2KvuQZ9_oFkqhJRcM5543-XOD5DJ15gSg.rep,abcdefu123,,1557,1846,-1,-1,3916,5576,3113
UWAn8wkMrg2KvuQZ9_oFkqhJRcM5543-XOD5DJ15gSg.rep,ProGamerMatt,,1591,1763,4556,4573,-1,-1,3095
UX-zNCYz8q77LMqe7wWIuyaXWh_b2qg5GQUjACgzpLQ.rep,TomasPlay,,1965,2017,4085,-1,6405,-1,3490
v2kIcr9XglfrokmXWs2J-U2PumVoTSb6Psbriibzozo.rep,A]StYm,,2365,1810,3486,-1,3821,5410,-1
v2kIcr9XglfrokmXWs2J-U2PumVoTSb6Psbriibzozo.rep,ProGamerMatt,,2157,2251,3384,-1,4226,5784,-1
vg1YbTZWFyLUH3PAyAKVFTYePJc3budRZbW8LboXiu0.rep,TomasPlay,,1917,3198,3048,3139,4509,6159,4914
vg1YbTZWFyLUH3PAyAKVFTYePJc3budRZbW8LboXiu0.rep,TerraHydraCanno,,2033,2163,3151,3210,4752,6275,-1
VoSZdV4Y28x_q4j5HbGMk3_bTdMYIDjXyLh45krqW7w.rep,ETA,,2496,4243,1819,-1,6225,-1,-1
VoSZdV4Y28x_q4j5HbGMk3_bTdMYIDjXyLh45krqW7w.rep,킹갓제네럴썬더라,,1839,3473,3224,-1,-1,-1,5550
vR55WH8NIYKy3y0jUJiObYxcVDulHypOVUwKkWsy6l8.rep,bolaco,,2920,4026,2399,3828,-1,-1,6692
vR55WH8NIYKy3y0jUJiObYxcVDulHypOVUwKkWsy6l8.rep,gamvit,,1518,1855,3808,-1,-1,-1,3161
VUgEsqfCJf_mJ-MwzfkvyIA0tT8_cG6xYObdEN-7YEw.rep,킹갓제네럴썬더라,,1828,2136,4087,6417,5569,-1,3885
wFeUWGQx7IOKjnvyIQnxn_03mSpStY0BX197Vj3mwNA.rep,TomasPlay,,1822,1917,6935,-1,3301,4898,3685
wFeUWGQx7IOKjnvyIQnxn_03mSpStY0BX197Vj3mwNA.rep,ZouLslayer(NOR),,2770,2987,2371,-1,-1,-1,4801
WHNqNXC3HeUzHr8DGos9dGMMAJxZijv8wht8nO5yIzM.rep,행복스타맨,,3210,5990,2114,4764,-1,-1,-1
WSET05pL9s8M9eVTOi8W2aXXAAvD8qcLYc1AjymI51E.rep,행복스타맨,,1801,2232,4023,5178,-1,-1,3225
xKXwjehOz0FnDEH3nC5eJcZbCc15ZYTXI-t6xwcSEBA.rep,행복스타맨,,1316,2985,5879,-1,5150,-1,6585
xKXwjehOz0FnDEH3nC5eJcZbCc15ZYTXI-t6xwcSEBA.rep,아싸오늘금요일,,1600,1897,5574,-1,-1,-1,3207
yspzDrSXdaUdWbuxt9-aivPLzrflC4fGVZAfw9eIou8.rep,행복스타맨,,1450,2926,-1,-1,5326,-1,6783
yspzDrSXdaUdWbuxt9-aivPLzrflC4fGVZAfw9eIou8.rep,코딱지,,1581,1886,5486,5769,-1,-1,3292
YUFkytxDBEePkAqURhPVIQc2_j-yANXDTvlWly4kPqQ.rep,BlackHand,,1830,1948,5983,5994,3316,4840,4440
YUFkytxDBEePkAqURhPVIQc2_j-yANXDTvlWly4kPqQ.rep,ZZZero,,1786,2046,3682,-1,3326,-1,3597
z4-bwsXiV3tIv5HGb3Bsxj15PknSyeM_oaa-HYilDAI.rep,행복스타맨,,2105,1339,4547,6688,5917,-1,3418
z4-bwsXiV3tIv5HGb3Bsxj15PknSyeM_oaa-HYilDAI.rep,킹갓제네럴썬더라,,1877,3842,3428,5154,6093,-1,-1
Ztqn5-EHd9SpH4JnROI6-2XQBMc4xivk1nte4jCmlQI.rep,julyzergisgone,,1630,1922,5127,-1,4182,5708,3079
Ztqn5-EHd9SpH4JnROI6-2XQBMc4xivk1nte4jCmlQI.rep,Gandalfin,,2834,3970,2462,3850,-1,-1,-1
ZuaqYdIWXoGVzIjwIfQgCQWSAI0w4kGZ3jdA80AE08I.rep,TomasPlay,,1788,1889,3813,-1,5272,6793,3246
ZY-iPP_uWidqFoQvG03J9Pd3ESR_WxbWAB8ILNAyTdM.rep,비두로기,,3009,3264,2481,4616,-1,-1,-1
ZY3_BfJqcePdANSTqEi0VZ_VivqKsIprUp_ggE1Rcz8.rep,RMB-Paraco,,2865,3011,2341,-1,-1,-1,5503
